demo,female,8,year4
pretest-time,1516967104413,1516967356262
pretest,fly,apple
pretest,wolf,bird
pretest,mouse,apple
pretest,butterfly,grasshopper
pretest,frog,butterfly
pretest,dragonfly,flower
pretest,bird,grasshopper
pretest,snake,apple
pretest,eagle,mouse
pretest,grasshopper,wheat
pretest,frog,fly
Round1,135008,811.6471875000037
Round2,117615,881.0060000000041
midtest-time,1516967691358,1516967812650
midtest,grasshopper,apple
midtest,grasshopper,wheat
midtest,wolf,grasshopper
midtest,snake,mouse
midtest,eagle,snake
midtest,mouse,apple
midtest,bird,mouse
midtest,butterfly,flower
midtest,frog,fly
midtest,fly,apple
midtest,dragonfly,butterfly
Round3,128026,865.4541875000043
Round4,134995,960.346937500005
posttest-time,1516968236030,1516968382606
posttest,eagle,mouse
posttest,butterfly,flower
posttest,bird,apple
posttest,snake,mouse
posttest,butterfly,apple
posttest,dragonfly,apple
posttest,frog,fly
posttest,fly,apple
posttest,wolf,bird
posttest,mouse,apple
posttest,grasshopper,wheat
